Survey ID,Age,Gender,Ethnicity,Education Completed,Marital Status,Household Size,Spouse,Children,Parent,Religion,Full Time Employment,Part Time Employment,Employment Type,Student,Retired,Occupation,Income,Achieving Ends Meet,US Born,Duration of Residency,Citizenship Class,English Speaking,Familiarity with America,Familiarity with Ethnic Origin,Present Health,Present Mental Health,Health Insurance,Status of Ownership,Personal Car,Satisfaction with Life,Quality of Life
50241,66,Female,Chinese,12,Married,2,Living with spouse,0,0,Protestant,0,0,None,0,Retired,None,"$50,000 - $59,999",1,No,20,Yes,Not well,High,High,Fair,Fair,Yes,Own,Yes,Pretty much,5
60003,23,Female,Chinese,15,Single,2,0,0,Living with parents,None,0,Employed part time,Part Time,Student,0,Professional,"$60,000 - $69,999",0,No,7,No,Well,Low,High,Very Good,Good,Yes,Rent,Yes,Pretty much,7
60128,33,Female,Chinese,16,Married,4,Living with spouse,Living with children,0,Buddhist,0,Employed part time,Part Time,0,0,Other,"$70,000 and over",0,No,3,No,Not well,Low,High,Good,Good,Yes,Rent,Yes,Not very much,7
40255,30,Female,Chinese,17,Single,1,0,0,0,None,0,0,None,0,0,Professional,"$70,000 and over",0,No,10,No,Well,High,High,Good,Good,0,Rent,Yes,,7
40184,42,Male,Chinese,16,Married,3,Living with spouse,Living with children,0,None,Employed full time,0,Full Time,0,0,Professional,"$70,000 and over",0,No,24,No,Well,High,Low,Very Good,Very Good,Yes,Own,Yes,Pretty much,9
100040106,33,Female,Chinese,16,Married,3,Living with spouse,Living with children,0,None,0,Employed part time,Part Time,0,0,Other,"$70,000 and over",0,No,17,No,Well,High,High,Good,Good,Yes,Own,Yes,Not very much,8
10010928,32,Male,Chinese,16,Single,1,0,0,0,None,Employed full time,0,Full Time,0,0,Professional,"$20,000 - $29,999",0,Yes,32,No,Very well,Very high,Low,Very Good,Very Good,Yes,Rent,Yes,Pretty much,6
60168,24,Male,Chinese,17,Single,2,0,0,0,None,0,Employed part time,Part Time,Student,0,Other,"$50,000 - $59,999",0,No,3,No,Well,Very low,Very high,Very Good,Very Good,Yes,Rent,Yes,,7
40220,21,Female,Chinese,15,Single,4,0,0,0,None,0,0,None,Student,0,None,"$0 - $9,999",0,No,10,No,Very well,High,High,Very Good,Excellent,Yes,Rent,No,Very much,10
40186,29,Male,Chinese,17,Single,5,0,0,0,None,Employed full time,0,Full Time,0,0,Professional,"$70,000 and over",0,No,7,No,Very well,Low,High,Very Good,Excellent,Yes,Own,Yes,Pretty much,9
60002,28,Female,Chinese,17,Married,2,Living with spouse,0,0,None,0,0,None,0,0,Other,"$10,000 - $19,999",0,No,3,No,Well,High,High,Very Good,Very Good,Yes,Rent,Yes,,8
60018,25,Male,Chinese,17,Single,2,0,0,0,None,0,0,None,Student,0,None,"$50,000 - $59,999",0,No,3,No,Not at all,Low,High,Very Good,Very Good,Yes,Rent,No,Pretty much,8
60206,25,Male,Chinese,17,Single,2,0,0,0,None,Employed full time,0,Full Time,0,0,Professional,"$20,000 - $29,999",0,No,3,No,Well,High,Very high,Excellent,Excellent,Yes,Rent,Yes,,7
10088,21,Male,Chinese,15,Single,4,0,0,Living with parents,None,0,0,None,Student,0,None,"$50,000 - $59,999",0,No,3,Yes,Well,High,High,Good,Good,Yes,Own,No,,6
50178,30,Male,Chinese,17,Single,3,0,0,0,Buddhist,Employed full time,0,Full Time,0,0,Professional,"$70,000 and over",0,Yes,18,No,Very well,High,Very high,Very Good,Excellent,Yes,Own,Yes,Very much,8
50054,29,Female,Chinese,17,Married,2,Living with spouse,0,0,None,Employed full time,0,Full Time,0,0,Service worker,"$40,000 - $49,999",0,No,3,Yes,Not well,Very low,High,Good,Good,0,Rent,Yes,,9
50085,25,Male,Chinese,17,Single,2,0,0,0,None,0,0,None,Student,0,Other,"$30,000 - $39,999",0,No,3,Yes,Very well,High,Very high,Excellent,Excellent,0,Own,Yes,,8
50088,28,Male,Chinese,17,Single,1,0,0,0,None,0,0,None,Student,0,None,"$20,000 - $29,999",0,No,3,No,Not well,High,High,Very Good,Very Good,Yes,Rent,Yes,,8
10907,38,Female,Chinese,15,Married,1,0,0,0,None,Employed full time,0,Full Time,0,0,Professional,"$70,000 and over",0,No,5,No,Very well,High,High,Very Good,Very Good,Yes,Rent,Yes,Very much,8
40219,21,Male,Chinese,16,Single,3,0,0,0,None,0,Employed part time,Part Time,Student,0,Professional,"$70,000 and over",0,Yes,21,Yes,Very well,Very high,Very high,Excellent,Excellent,Yes,Rent,Yes,Very much,10
50142,28,Female,Chinese,17,Married,2,Living with spouse,0,0,None,0,0,None,0,0,None,"$70,000 and over",0,No,3,No,Well,High,High,Excellent,Fair,Yes,Rent,No,Not very much,8
60228,37,Female,Chinese,17,Married,6,Living with spouse,Living with children,0,None,0,0,None,0,0,Professional,"$70,000 and over",0,No,8,Yes,Well,Low,Very high,Good,Good,Yes,Own,Yes,Pretty much,7
50217,64,Male,Chinese,12,Married,4,Living with spouse,Living with children,0,Buddhist,0,0,None,0,Retired,None,"$0 - $9,999",1,No,3,Yes,Not well,High,High,Good,Good,0,Own,Yes,,4
60226,37,Female,Chinese,17,Married,3,Living with spouse,Living with children,0,None,Employed full time,0,Full Time,0,0,Professional,"$70,000 and over",0,No,10,No,Not well,Low,High,Good,Good,Yes,Own,Yes,Pretty much,8
60025,35,Male,Chinese,16,Married,5,Living with spouse,Living with children,0,None,Employed full time,0,Full Time,0,0,"Manager, executive, or official","$70,000 and over",0,No,4,No,Well,Low,High,Good,Good,Yes,Rent,Yes,Pretty much,7
40122,22,Female,Chinese,16,Single,1,0,0,0,Catholic,0,0,None,Student,0,None,"$0 - $9,999",0,No,3,No,Well,High,High,Excellent,Excellent,Yes,Rent,Yes,,9
50006,64,Male,Chinese,12,Married,2,Living with spouse,0,0,,0,0,None,0,Retired,None,,0,No,3,Yes,Not well,High,High,Good,Good,0,,Yes,,7
50008,64,Female,Chinese,9,Married,2,Living with spouse,0,0,,0,0,None,0,Retired,None,,0,No,3,Yes,Not well,High,High,Good,Good,0,Own,Yes,,7
50017,37,Female,Chinese,16,Married,2,Living with spouse,0,0,Protestant,0,0,None,0,0,None,"$10,000 - $19,999",0,No,3,Yes,Not at all,Low,High,Fair,Fair,Yes,Rent,Yes,Pretty much,7
50032,62,Female,Chinese,17,Single,1,0,0,0,Protestant,0,0,None,0,Retired,None,"$30,000 - $39,999",0,No,34,Yes,Not well,High,Very high,Fair,Fair,Yes,Own,Yes,Pretty much,8
50092,28,Male,Chinese,17,Single,2,0,0,0,Buddhist,0,0,None,Student,0,None,"$30,000 - $39,999",0,No,3,Yes,Not well,Low,Very high,Good,Good,Yes,Rent,Yes,Pretty much,6
60213,34,Male,Chinese,17,Married,3,0,Living with children,0,None,Employed full time,0,Full Time,0,0,Professional,"$70,000 and over",0,No,8,No,Not well,Low,Low,Very Good,Very Good,Yes,Rent,Yes,Pretty much,8
40210,21,Female,Chinese,15,Single,5,0,0,0,Protestant,0,0,None,Student,0,None,"$70,000 and over",0,Yes,21,No,Very well,High,Low,Very Good,Very Good,Yes,Own,Yes,Very much,8
60135,38,Male,Chinese,17,Married,4,Living with spouse,0,0,Protestant,Employed full time,0,Full Time,0,0,Professional,"$70,000 and over",0,No,8,No,Well,High,Very high,Good,Good,Yes,Own,Yes,Pretty much,7
60005,25,Female,Chinese,17,Single,3,0,0,0,Protestant,0,Employed part time,Part Time,Student,0,Other,"$20,000 - $29,999",0,No,3,No,Well,Low,High,Very Good,Good,Yes,Rent,Yes,Pretty much,7
40148,31,Female,Chinese,17,Married,3,Living with spouse,Living with children,0,Protestant,0,0,None,0,0,None,"$10,000 - $19,999",1,No,3,No,Well,Low,High,Good,Fair,Yes,Rent,Yes,Very much,8
40014,29,Female,Chinese,16,Married,2,Living with spouse,0,0,Protestant,Employed full time,0,Full Time,0,0,Professional,"$70,000 and over",0,No,24,Yes,Very well,Very high,High,Excellent,Excellent,Yes,Own,Yes,Pretty much,10
50003,54,Male,Chinese,17,Married,2,Living with spouse,0,0,Protestant,Employed full time,0,Full Time,0,0,Professional,"$60,000 - $69,999",0,No,37,No,Well,High,High,Good,Very Good,Yes,Own,Yes,,9
50237,70,Male,Chinese,16,Married,2,Living with spouse,0,0,Protestant,0,0,None,0,Retired,"Manager, executive, or official","$50,000 - $59,999",0,No,20,No,Not well,Low,High,Very Good,Very Good,Yes,Own,Yes,Pretty much,7
60009,69,Female,Chinese,16,Married,7,0,Living with children,0,Buddhist,0,0,None,0,Retired,None,"$10,000 - $19,999",0,No,5,No,Not at all,Low,High,Good,Good,0,Own,Yes,,5
4,21,Female,Chinese,15,Single,3,0,0,0,None,0,0,None,Student,0,None,"$0 - $9,999",0,Yes,21,No,Very well,Very high,Low,Very Good,Excellent,0,Rent,Yes,Pretty much,7
10136,20,Male,Chinese,14,Single,4,0,0,Living with parents,Protestant,0,Employed part time,Part Time,Student,0,"Manager, executive, or official","$50,000 - $59,999",0,Yes,20,No,Very well,Very high,Low,Very Good,Very Good,0,Own,Yes,Very much,10
50150,56,Female,Chinese,16,Married,2,Living with spouse,0,0,Protestant,0,0,None,0,Retired,None,"$70,000 and over",1,No,30,Yes,Not well,High,High,Very Good,Very Good,Yes,Own,Yes,Pretty much,7
50209,66,Male,Chinese,9,Married,6,Living with spouse,Living with children,0,Protestant,0,0,None,0,Retired,None,,0,No,5,No,Not at all,Very low,High,Fair,Fair,Yes,Own,Yes,Pretty much,4
60202,26,Male,Chinese,17,Single,2,0,0,0,None,0,0,None,Student,0,None,"$20,000 - $29,999",1,No,4,Yes,Not well,Low,High,Good,Good,Yes,Rent,Yes,Pretty much,7
10134,22,Male,Chinese,16,Single,2,0,0,0,Protestant,0,0,None,0,0,Business owner,"$40,000 - $49,999",0,Yes,22,No,Very well,Very high,High,Fair,Fair,Yes,Rent,Yes,Pretty much,10
60214,35,Female,Chinese,16,Married,3,Living with spouse,Living with children,0,None,0,0,None,0,0,None,"$70,000 and over",0,No,7,No,Not well,Low,High,Very Good,Very Good,Yes,Rent,Yes,Pretty much,8
11036,21,Male,Chinese,3,Single,4,0,0,0,Other,0,0,None,Student,0,None,"$0 - $9,999",1,Yes,21,No,Very well,Very high,Very high,Fair,Fair,0,Own,No,,5
50225,45,Female,Chinese,9,Married,3,Living with spouse,Living with children,0,Buddhist,Employed full time,0,Full Time,0,0,Service worker,"$40,000 - $49,999",0,No,4,No,Not at all,Very low,High,Fair,Good,0,Rent,Yes,,5
60039,30,Female,Chinese,12,Married,4,Living with spouse,Living with children,0,None,0,0,None,0,0,None,"$70,000 and over",0,No,4,Yes,Well,High,High,Good,Very Good,Yes,Own,Yes,Pretty much,8
50072,53,Female,Chinese,17,Married,4,0,Living with children,0,Protestant,0,0,None,0,0,None,"$70,000 and over",0,No,4,No,Not well,High,High,Excellent,Excellent,Yes,Own,Yes,,8
50001,38,Male,Chinese,17,Married,2,Living with spouse,0,0,Protestant,0,0,None,Student,0,Other,"$10,000 - $19,999",0,No,6,No,Not well,High,High,Good,Very Good,Yes,Rent,Yes,,7
10094,21,Female,Chinese,16,Single,1,0,0,0,None,0,0,None,Student,0,None,"$0 - $9,999",0,Yes,22,No,Very well,Very high,High,Excellent,Excellent,Yes,Rent,Yes,,10
40177,20,Female,Chinese,15,Single,5,0,0,Living with parents,Protestant,0,0,None,Student,0,None,"$60,000 - $69,999",0,Yes,20,Yes,Very well,High,Low,Fair,Good,Yes,Rent,Yes,Very much,10
60209,28,Female,Chinese,16,Married,5,Living with spouse,Living with children,Living with parents,Buddhist,0,0,None,0,0,None,"$70,000 and over",0,No,4,Yes,Not well,Low,High,Very Good,Very Good,Yes,Rent,Yes,Very much,7
60004,28,Male,Chinese,16,Married,2,Living with spouse,0,0,Protestant,0,0,None,Student,0,None,"$20,000 - $29,999",0,No,4,No,Not well,Low,High,Very Good,Very Good,Yes,Rent,Yes,,7
10156,25,Male,Chinese,16,Living with a partner,2,0,0,0,Buddhist,Employed full time,0,Full Time,0,0,Professional,"$70,000 and over",0,No,24,No,Very well,,High,Good,Good,Yes,Rent,Yes,Pretty much,9
48888,32,Male,Chinese,17,Married,2,Living with spouse,0,0,Protestant,Employed full time,0,Full Time,0,0,Professional,"$10,000 - $19,999",1,No,12,No,Well,High,High,Very Good,Very Good,Yes,Rent,Yes,Very much,7
50140,54,Female,Chinese,16,Married,3,Living with spouse,Living with children,0,Catholic,0,0,None,0,0,None,"$70,000 and over",0,No,27,Yes,Not well,Low,High,Excellent,Excellent,Yes,Own,Yes,Not very much,6
60126,89,Female,Chinese,12,Single,5,0,Living with children,0,Protestant,0,0,None,0,0,None,,1,No,5,,Not at all,Very low,High,Very Good,Very Good,0,Own,Yes,Pretty much,9
40242,22,Male,Chinese,16,Single,4,0,0,0,Protestant,0,Employed part time,Part Time,Student,0,Other,"$70,000 and over",0,Yes,22,No,Very well,Very high,Low,Excellent,Excellent,Yes,Own,Yes,Pretty much,10
10069,22,Male,Chinese,16,Single,6,0,0,0,Protestant,0,Employed part time,Part Time,0,0,Professional,"$20,000 - $29,999",0,Yes,22,No,Very well,High,Low,Very Good,Very Good,Yes,Rent,Yes,Pretty much,7
50277,36,Female,Chinese,16,Married,4,Living with spouse,Living with children,0,Protestant,0,0,None,0,0,None,"$70,000 and over",0,No,10,No,Not well,Low,Very high,Very Good,Very Good,Yes,Own,Yes,Very much,8
60239,36,Female,Chinese,16,Married,4,Living with spouse,Living with children,0,Protestant,0,0,None,0,0,None,"$70,000 and over",0,No,10,No,Not well,Low,Very high,Very Good,Very Good,Yes,Own,Yes,Very much,8
40243,22,Male,Chinese,16,Single,5,0,0,0,Protestant,0,0,None,Student,0,None,"$70,000 and over",0,Yes,22,No,Very well,High,High,Excellent,Excellent,Yes,Rent,Yes,Pretty much,8
40216,32,Female,Chinese,16,Married,2,Living with spouse,0,0,None,Employed full time,0,Full Time,0,0,Professional,"$70,000 and over",0,No,5,No,Well,High,High,Good,Good,Yes,Own,Yes,Pretty much,8
50298,64,Female,Chinese,17,Married,2,Living with spouse,0,0,Buddhist,0,0,None,0,Retired,Professional,"$60,000 - $69,999",0,No,41,Yes,Very well,Very high,High,Very Good,Very Good,Yes,Own,Yes,Pretty much,9
10040058,44,Female,Chinese,16,Single,1,0,0,0,None,Employed full time,0,Full Time,0,0,Professional,"$60,000 - $69,999",0,Yes,44,No,Very well,Very high,Low,Very Good,Very Good,Yes,Own,Yes,Very much,8
60177,70,Female,Chinese,16,Married,5,0,Living with children,0,None,0,0,None,0,Retired,None,,,No,8,No,Not at all,Low,High,Fair,Fair,Yes,Own,No,Pretty much,5
60160,20,Male,Chinese,16,Single,5,0,0,Living with parents,None,0,Employed part time,Part Time,0,0,Service worker,"$20,000 - $29,999",0,No,5,Yes,Not well,Very high,Very low,Very Good,Excellent,Yes,Own,Yes,Pretty much,6
60178,73,Female,Chinese,16,Single,5,0,Living with children,0,None,0,0,None,0,Retired,None,,,No,5,Yes,Not at all,Low,High,Fair,Fair,Yes,Own,Yes,Pretty much,5
60231,30,Male,Chinese,15,Single,3,0,0,0,None,0,0,None,Student,0,Other,"$0 - $9,999",0,No,5,No,Not well,Low,High,Good,Very Good,Yes,Own,Yes,,6
60240,47,Female,Chinese,17,Married,5,0,Living with children,Living with parents,None,Employed full time,0,Full Time,0,0,Professional,"$70,000 and over",0,No,20,Yes,Well,High,High,Very Good,Very Good,Yes,Own,Yes,Pretty much,9
40180,25,Male,Chinese,17,Single,1,0,0,0,None,0,0,None,Student,0,Professional,"$20,000 - $29,999",0,No,10,No,Well,Low,Very high,Fair,Very Good,Yes,Rent,Yes,Pretty much,7
40192,24,Male,Chinese,15,Married,2,Living with spouse,0,0,Protestant,0,0,None,Student,0,None,"$40,000 - $49,999",0,No,7,No,Well,High,High,Good,Good,0,Rent,Yes,Pretty much,7
50167,36,Male,Chinese,17,Married,6,Living with spouse,Living with children,0,None,Employed full time,0,Full Time,0,0,Professional,"$70,000 and over",0,No,8,No,Not well,Low,High,Good,Good,Yes,Own,Yes,Pretty much,6
60011,38,Female,Chinese,17,Married,4,Living with spouse,Living with children,0,None,0,0,None,0,0,None,"$70,000 and over",0,No,7,No,Not well,Low,Very high,Good,Good,Yes,Own,Yes,Pretty much,7
60130,54,Female,Chinese,16,Married,4,Living with spouse,Living with children,0,None,0,0,None,0,0,None,"$60,000 - $69,999",0,No,7,Yes,Not well,Low,High,Excellent,Very Good,Yes,Own,Yes,,9
60205,28,Female,Chinese,17,Single,2,0,0,0,None,0,0,None,Student,0,None,,,No,5,No,Well,High,Very high,Excellent,Excellent,Yes,Rent,No,,9
10040047,24,Male,Chinese,16,Single,2,0,0,0,Protestant,0,0,None,Student,0,None,"$20,000 - $29,999",0,No,14,Yes,Very well,Very high,High,Excellent,Excellent,0,Rent,No,,9
60047,35,Female,Chinese,16,Married,3,Living with spouse,Living with children,0,None,0,0,None,0,0,Professional,,0,No,9,No,Well,Low,High,Good,Good,Yes,Own,Yes,Pretty much,6
10067,23,Male,Chinese,16,Single,4,0,0,0,Protestant,0,0,None,Student,0,None,"$20,000 - $29,999",1,No,7,No,Well,High,Very high,Very Good,Very Good,Yes,Rent,Yes,Very much,9
40181,24,Male,Chinese,16,Single,4,0,0,Living with parents,Protestant,Employed full time,0,Full Time,0,0,Other,"$60,000 - $69,999",0,Yes,24,No,Very well,Very high,High,Very Good,Very Good,Yes,Rent,Yes,,7
50028,48,Female,Chinese,12,Other,1,0,0,0,Protestant,0,0,None,0,0,None,,1,No,5,No,Not at all,Very low,Low,Good,Good,Yes,,Yes,,2
50084,27,Male,Chinese,17,Single,3,0,0,0,Protestant,0,0,None,Student,0,"Manager, executive, or official","$30,000 - $39,999",0,No,5,No,Well,Low,Very high,Very Good,Good,Yes,Own,Yes,Not very much,6
60095,32,Female,Chinese,17,Single,1,0,0,0,None,Employed full time,0,Full Time,0,0,"Clerical, office, sales","$50,000 - $59,999",0,No,5,Yes,Well,Low,High,Good,Good,0,Rent,Yes,Pretty much,6
500,33,Female,Chinese,17,Single,1,0,0,0,None,0,0,None,Student,0,Professional,"$20,000 - $29,999",0,No,5,No,Not well,Low,High,Good,Good,Yes,Rent,Yes,Pretty much,7
50176,34,Female,Chinese,16,Married,5,Living with spouse,Living with children,Living with parents,Buddhist,0,0,None,0,0,"Clerical, office, sales","$50,000 - $59,999",0,No,7,No,Well,Very high,Very high,Very Good,Very Good,Yes,Own,Yes,Very much,8
60176,73,Male,Chinese,16,Married,5,Living with spouse,Living with children,0,,0,0,None,0,Retired,None,,,No,8,No,Not at all,Low,High,Fair,Fair,Yes,Own,No,Pretty much,6
60151,72,Male,Chinese,16,Married,5,Living with spouse,Living with children,0,Protestant,0,0,None,0,Retired,None,"$10,000 - $19,999",0,,,Yes,,,,,,0,Own,Yes,Pretty much,6
60208,74,Female,Chinese,13,Married,4,Living with spouse,Living with children,0,None,0,0,None,0,Retired,Skilled trades,"$10,000 - $19,999",1,No,6,Yes,Not at all,Low,High,Very Good,Very Good,0,Own,Yes,,8
50012,64,Male,Chinese,16,Single,1,0,0,0,Protestant,0,0,None,0,Retired,None,"$10,000 - $19,999",,No,33,Yes,Well,High,High,Very Good,Very Good,Yes,Own,Yes,Pretty much,7
40153,37,Female,Chinese,12,Married,4,Living with spouse,Living with children,0,Protestant,Employed full time,0,Full Time,0,0,Professional,"$70,000 and over",0,No,11,No,Well,Low,High,Very Good,Very Good,Yes,Own,Yes,Pretty much,6
50053,33,Female,Chinese,17,Single,2,0,0,0,None,0,0,None,0,0,None,"$10,000 - $19,999",0,No,7,Yes,Well,High,Very high,Very Good,Very Good,Yes,Rent,Yes,,7
40193,24,Male,Chinese,16,Single,4,0,0,0,Protestant,Employed full time,0,Full Time,0,0,Professional,"$60,000 - $69,999",0,No,14,Yes,Very well,High,Low,Very Good,Fair,Yes,Rent,Yes,Very much,8
50146,34,Female,Chinese,16,Married,3,Living with spouse,Living with children,0,None,0,0,None,0,0,None,"$70,000 and over",0,No,15,No,Well,Low,High,Very Good,Very Good,Yes,Own,Yes,Pretty much,8
60020,75,Female,Chinese,9,Married,7,0,Living with children,Living with parents,None,Employed full time,0,Full Time,0,0,Service worker,"$40,000 - $49,999",0,No,14,No,Not at all,Very low,Very low,Very Good,Very Good,0,Own,Yes,,5
60030,40,Female,Chinese,12,Married,5,Living with spouse,0,0,None,0,0,None,0,0,None,"$30,000 - $39,999",1,No,15,Yes,Not at all,Low,Low,Good,Fair,Yes,Rent,Yes,Pretty much,5
50007,63,Female,Chinese,16,Single,5,0,Living with children,0,Buddhist,0,0,None,0,Retired,Other,,1,Yes,10,No,Not at all,Low,Low,Very Good,Very Good,0,Own,No,Pretty much,5
60223,42,Female,Chinese,17,Married,3,Living with spouse,Living with children,0,Protestant,Employed full time,0,Full Time,0,0,Professional,"$30,000 - $39,999",0,No,17,Yes,Very well,High,Very high,Very Good,Very Good,Yes,Own,Yes,Very much,8
1013101,19,Female,Chinese,13,Living with a partner,4,0,0,Living with parents,Buddhist,0,0,None,Student,0,None,"$0 - $9,999",1,No,6,Yes,Well,High,Low,Good,Good,Yes,Rent,Yes,Pretty much,8
60156,43,Male,Chinese,17,Married,3,Living with spouse,Living with children,0,None,Employed full time,0,Full Time,0,0,Professional,"$70,000 and over",0,No,17,Yes,Very well,Very high,Very high,Excellent,Excellent,Yes,Own,Yes,Very much,10
50299,69,Female,Chinese,16,Married,6,0,Living with children,0,None,0,0,None,0,Retired,Professional,"$10,000 - $19,999",0,No,6,No,Not at all,Low,High,Good,Good,0,Own,Yes,,7
60150,75,Female,Chinese,16,Single,1,0,0,0,Protestant,0,0,None,0,Retired,None,,1,No,6,No,Not at all,Very low,High,Poor,Fair,0,,No,Not very much,2
60175,46,Female,Chinese,13,Married,4,Living with spouse,0,0,None,Employed full time,0,Full Time,0,0,"Clerical, office, sales","$60,000 - $69,999",0,No,9,Yes,Not well,Low,High,Fair,Fair,Yes,Own,Yes,Pretty much,6
60059,74,Male,Chinese,8,Married,6,0,Living with children,0,None,0,0,None,0,Retired,Skilled trades,"$0 - $9,999",1,No,12,No,Not at all,Very high,High,Very Good,Very Good,0,Own,No,Pretty much,5
50207,70,Male,Chinese,16,Married,6,0,Living with children,0,None,0,0,None,0,Retired,None,"$0 - $9,999",1,No,7,No,Not at all,Very low,Low,Fair,Fair,0,Own,No,,1
60017,39,Female,Chinese,17,Married,4,Living with spouse,Living with children,0,None,Employed full time,0,Full Time,0,0,Skilled trades,"$20,000 - $29,999",0,No,16,Yes,Not well,High,High,Good,Good,Yes,Own,Yes,Very much,8
60058,73,Female,Chinese,6,Married,6,Living with spouse,0,0,None,0,0,None,0,0,None,"$0 - $9,999",1,No,13,No,Not at all,Very low,High,Good,Good,Yes,,No,Very much,5
60069,46,Male,Chinese,17,Single,1,0,0,0,None,Employed full time,0,Full Time,0,0,"Manager, executive, or official","$70,000 and over",0,No,19,No,Not well,Low,High,Fair,Fair,Yes,Own,Yes,Pretty much,5
60016,49,Female,Chinese,17,Married,3,Living with spouse,0,0,None,Employed full time,0,Full Time,0,0,Professional,"$70,000 and over",0,No,15,No,Not well,Low,High,Good,Good,Yes,Own,Yes,,7
10301,24,Female,Chinese,16,Single,4,0,0,0,Protestant,Employed full time,0,Full Time,0,0,Professional,"$50,000 - $59,999",0,Yes,24,No,Very well,Very high,Low,Excellent,Very Good,Yes,Rent,Yes,Very much,9
50183,48,Female,Chinese,17,Married,4,Living with spouse,Living with children,0,Buddhist,0,0,None,0,0,Skilled trades,"$70,000 and over",0,No,23,Yes,Not well,High,High,Good,Excellent,Yes,Own,Yes,Pretty much,10
100040122,27,Male,Chinese,16,Single,2,0,0,0,Protestant,Employed full time,0,Full Time,0,0,Professional,"$70,000 and over",0,No,19,No,Very well,High,Low,Very Good,Good,Yes,Own,Yes,Very much,9
60219,40,Female,Chinese,12,Married,4,Living with spouse,0,0,Buddhist,0,Employed part time,Part Time,0,0,Service worker,"$10,000 - $19,999",1,No,7,Yes,Not at all,Very low,Very low,Good,Good,Yes,Rent,Yes,,9
40178,30,Male,Chinese,17,Married,2,Living with spouse,0,0,None,Employed full time,0,Full Time,0,0,Professional,"$70,000 and over",0,Yes,11,No,Very well,Very high,Very high,Excellent,Excellent,Yes,Own,Yes,Very much,10
50231,40,Female,Chinese,16,Married,3,Living with spouse,Living with children,0,Protestant,0,0,None,0,0,"Clerical, office, sales","$60,000 - $69,999",0,No,8,Yes,Not well,Low,High,Excellent,Excellent,Yes,Rent,Yes,,8
60233,43,Female,Chinese,12,Married,4,Living with spouse,0,0,Buddhist,0,Employed part time,Part Time,0,0,"Clerical, office, sales","$10,000 - $19,999",1,No,7,No,Not at all,Very low,High,Fair,Fair,Yes,Rent,Yes,,9
10040107,42,Female,Chinese,16,Married,4,Living with spouse,Living with children,0,Buddhist,0,0,None,0,0,None,"$70,000 and over",0,No,14,No,Not well,Low,High,Good,Good,Yes,Own,Yes,Not very much,7
40007,34,Male,Chinese,16,Married,2,Living with spouse,0,0,Protestant,Employed full time,0,Full Time,0,0,Professional,"$70,000 and over",0,No,10,No,Very well,High,High,Very Good,Very Good,Yes,Own,Yes,Pretty much,8
40114,63,Female,Chinese,16,Living with a partner,2,0,0,0,Buddhist,0,0,None,0,Retired,None,"$40,000 - $49,999",0,No,43,No,Very well,Very high,Low,Good,Very Good,Yes,Own,Yes,Pretty much,10
40115,37,Female,Chinese,17,Married,4,Living with spouse,Living with children,0,None,Employed full time,0,Full Time,0,0,Professional,"$70,000 and over",0,No,13,No,Very well,High,Very high,Very Good,Very Good,Yes,Own,Yes,Very much,8
60170,32,Male,Chinese,17,Married,3,Living with spouse,Living with children,0,None,Employed full time,0,Full Time,0,0,Other,"$70,000 and over",0,No,7,No,Well,Low,Very high,Very Good,Excellent,Yes,Own,Yes,Not very much,8
50172,47,Male,Chinese,16,Married,4,0,Living with children,0,Buddhist,Employed full time,0,Full Time,0,0,Other,"$70,000 and over",0,No,24,No,Well,High,High,Excellent,Excellent,Yes,Own,Yes,Pretty much,10
50143,21,Female,Chinese,15,Living with a partner,2,Living with spouse,0,0,Protestant,0,Employed part time,Part Time,0,0,Service worker,"$50,000 - $59,999",0,No,8,Yes,Very well,Low,Very high,Excellent,Very Good,Yes,Own,Yes,Pretty much,7
60127,58,Male,Chinese,17,Married,1,0,0,0,None,Employed full time,0,Full Time,0,0,Professional,"$50,000 - $59,999",1,No,15,No,Very well,High,Very high,Very Good,Very Good,Yes,Own,Yes,Pretty much,8
50233,49,Female,Chinese,17,Married,4,Living with spouse,Living with children,0,Protestant,Employed full time,0,Full Time,0,0,Professional,"$70,000 and over",0,No,29,No,Well,High,High,Very Good,Very Good,Yes,Own,Yes,Pretty much,7
60029,35,Female,Chinese,12,Married,3,Living with spouse,Living with children,0,Protestant,Employed full time,0,Full Time,0,0,"Manager, executive, or official","$70,000 and over",0,No,8,No,Not well,High,Very high,Fair,Fair,Yes,Own,Yes,Pretty much,5
50301,73,Male,Chinese,16,Married,2,Living with spouse,0,0,Protestant,0,0,None,0,Retired,"Manager, executive, or official","$40,000 - $49,999",0,No,50,Yes,Not well,High,High,Good,Good,Yes,Own,Yes,Pretty much,7
60203,40,Female,Chinese,17,Married,4,Living with spouse,0,Living with parents,None,Employed full time,0,Full Time,0,0,Professional,"$10,000 - $19,999",0,No,15,No,Very well,High,High,Very Good,Very Good,Yes,Own,Yes,Pretty much,8
10040094,37,Male,Chinese,17,Married,4,Living with spouse,Living with children,0,None,Employed full time,0,Full Time,0,0,Professional,"$70,000 and over",0,No,15,No,Very well,High,Very high,Excellent,Excellent,Yes,Own,Yes,Pretty much,7
